"Kreisschlüssel";"Kreis";"Abs_tot";"Quote_tot";"ErwPers";"BuLa"
7313;"Landau in der Pfalz, kr.f. St.";574;2.4;23916.6666666667;"Rheinland-Pfalz"
7314;"Ludwigshafen am Rhein, Stadt";1830;2.2;83181.8181818182;"Rheinland-Pfalz"
7315;"Mainz, kreisfreie Stadt";1998;1.8;111000;"Rheinland-Pfalz"
7316;"Neustadt an der Weinstraße,St.";586;2.1;27904.7619047619;"Rheinland-Pfalz"
7317;"Pirmasens, kreisfreie Stadt";622;3;20733.3333333333;"Rheinland-Pfalz"
7318;"Speyer, kreisfreie Stadt";567;2.1;27000;"Rheinland-Pfalz"
7319;"Worms, kreisfreie Stadt";999;2.3;43434.7826086957;"Rheinland-Pfalz"
7320;"Zweibrücken, kreisfreie Stadt";538;3;17933.3333333333;"Rheinland-Pfalz"
7331;"Alzey-Worms";1500;2.2;68181.8181818182;"Rheinland-Pfalz"
7332;"Bad Dürkheim";1477;2.1;70333.3333333333;"Rheinland-Pfalz"
7333;"Donnersbergkreis";950;2.3;41304.347826087;"Rheinland-Pfalz"
7334;"Germersheim";1596;2.3;69391.3043478261;"Rheinland-Pfalz"
7335;"Kaiserslautern";1469;2.7;54407.4074074074;"Rheinland-Pfalz"
7336;"Kusel";1125;3;37500;"Rheinland-Pfalz"
7337;"Südliche Weinstraße";1275;2.2;57954.5454545454;"Rheinland-Pfalz"
7338;"Rhein-Pfalz-Kreis";1497;1.8;83166.6666666667;"Rheinland-Pfalz"
7339;"Mainz-Bingen";2061;1.9;108473.684210526;"Rheinland-Pfalz"
7340;"Südwestpfalz";1509;2.9;52034.4827586207;"Rheinland-Pfalz"
8111;"Stuttgart, Landeshauptstadt";5793;1.9;304894.736842105;"BW"
8115;"Böblingen";3941;2;197050;"BW"
8116;"Esslingen";4566;1.6;285375;"BW"
8117;"Göppingen";2714;2;135700;"BW"
8118;"Ludwigsburg";5410;1.9;284736.842105263;"BW"
8119;"Rems-Murr-Kreis";4023;1.8;223500;"BW"
8121;"Heilbronn, Stadt";1685;2.6;64807.6923076923;"BW"
8125;"Heilbronn";3743;2;187150;"BW"
8126;"Hohenlohekreis";1071;1.7;63000;"BW"
8127;"Schwäbisch Hall";1752;1.7;103058.823529412;"BW"
8128;"Main-Tauber-Kreis";1332;1.8;74000;"BW"
8135;"Heidenheim";1760;2.6;67692.3076923077;"BW"
8136;"Ostalbkreis";3343;2;167150;"BW"
8211;"Baden-Baden, Stadt";566;2.1;26952.380952381;"BW"
8212;"Karlsruhe, Stadt";2716;1.8;150888.888888889;"BW"
8215;"Karlsruhe";4557;1.9;239842.105263158;"BW"
8216;"Rastatt";2250;1.8;125000;"BW"
8221;"Heidelberg, Stadt";1360;2;68000;"BW"
8222;"Mannheim, Universitätsstadt";3146;2;157300;"BW"
8225;"Neckar-Odenwald-Kreis";1674;2.2;76090.9090909091;"BW"
8226;"Rhein-Neckar-Kreis";6157;2.2;279863.636363636;"BW"
8231;"Pforzheim, Stadt";1402;2.3;60956.5217391304;"BW"
8235;"Calw";1977;2.4;82375;"BW"
8236;"Enzkreis";1891;1.8;105055.555555556;"BW"
8237;"Freudenstadt";1487;2.2;67590.9090909091;"BW"
8311;"Freiburg im Breisgau, Stadt";2312;2.1;110095.238095238;"BW"
8315;"Breisgau-Hochschwarzwald";2249;1.7;132294.117647059;"BW"
8316;"Emmendingen";1589;1.8;88277.7777777778;"BW"
